Date,Adj_Close,Close,High,Low,Open,Volume
31-03-1997,2.181316614,5.515625,5.578125,5.453125,5.5,2035200
01-04-1997,2.168958187,5.484375,5.53125,5.46875,5.5,1578400
02-04-1997,2.168958187,5.484375,5.53125,5.453125,5.46875,3325600
03-04-1997,2.168958187,5.484375,5.507812977,5.453125,5.484375,3209600
04-04-1997,2.162779331,5.46875,5.546875,5.453125,5.484375,5961600
07-04-1997,2.15659976,5.453125,5.53125,5.4375,5.5,3843200
08-04-1997,2.168958187,5.484375,5.5,5.4375,5.4375,2072000
09-04-1997,2.15041995,5.4375,5.53125,5.421875,5.484375,1894400
10-04-1997,2.168958187,5.484375,5.53125,5.4375,5.4375,1533600
11-04-1997,2.131882668,5.390625,5.453125,5.390625,5.453125,3162400
14-04-1997,2.125702143,5.375,5.390625,5.328125,5.390625,3344800
15-04-1997,2.144240379,5.421875,5.453125,5.40625,5.4375,1992800
16-04-1997,2.168958187,5.484375,5.484375,5.359375,5.390625,1904800
17-04-1997,2.15659976,5.453125,5.515625,5.4375,5.5,3212000
18-04-1997,2.162779331,5.46875,5.515625,5.453125,5.46875,1320000
21-04-1997,2.138061523,5.40625,5.515625,5.390625,5.5,1201600
22-04-1997,2.168958187,5.484375,5.5,5.40625,5.40625,2051200
23-04-1997,2.162779331,5.46875,5.53125,5.453125,5.484375,2412800
24-04-1997,2.144240379,5.421875,5.515625,5.40625,5.5,1851200
25-04-1997,2.144240379,5.421875,5.453125,5.390625,5.421875,1756800
28-04-1997,2.168958187,5.484375,5.515625,5.390625,5.40625,2131200
29-04-1997,2.199854851,5.5625,5.578125,5.515625,5.546875,5031200
30-04-1997,2.206034899,5.578125,5.578125,5.515625,5.5625,3355200
01-05-1997,2.224573612,5.625,5.625,5.546875,5.578125,3356800
02-05-1997,2.26164937,5.71875,5.71875,5.609375,5.640625,3745600
05-05-1997,2.29872489,5.8125,5.8125,5.703125,5.734375,3078400
06-05-1997,2.329622269,5.890625,5.890625,5.796875,5.796875,5731200
07-05-1997,2.274006605,5.75,5.890625,5.734375,5.890625,1826400
08-05-1997,2.26782608,5.734375,5.8125,5.71875,5.734375,3841600
09-05-1997,2.26782608,5.734375,5.796875,5.6875,5.734375,1763200
12-05-1997,2.292546272,5.796875,5.8125,5.734375,5.734375,1885600
13-05-1997,2.280185938,5.765625,5.796875,5.71875,5.796875,1876000
14-05-1997,2.292546272,5.796875,5.859375,5.78125,5.796875,1724800
15-05-1997,2.292546272,5.796875,5.796875,5.734375,5.78125,2332000
16-05-1997,2.292546272,5.796875,5.8125,5.765625,5.78125,2164800
19-05-1997,2.29872489,5.8125,5.84375,5.78125,5.8125,1509600
20-05-1997,2.317263126,5.859375,5.859375,5.78125,5.8125,6188000
21-05-1997,2.292546272,5.796875,5.859375,5.75,5.859375,2610400
22-05-1997,2.292546272,5.796875,5.84375,5.765625,5.828125,2448000
23-05-1997,2.304903984,5.828125,5.859375,5.796875,5.8125,1978400
27-05-1997,2.292546272,5.796875,5.796875,5.734375,5.78125,5268000
28-05-1997,2.304033518,5.765625,5.8125,5.734375,5.765625,8003200
29-05-1997,2.297788858,5.75,5.796875,5.734375,5.796875,2240000
30-05-1997,2.316523552,5.796875,5.8125,5.71875,5.71875,2813600
02-06-1997,2.291544914,5.734375,5.8125,5.703125,5.8125,2088800
03-06-1997,2.272814274,5.6875,5.734375,5.6875,5.703125,3728000
04-06-1997,2.260326385,5.65625,5.703125,5.640625,5.6875,4702400
05-06-1997,2.266571283,5.671875,5.703125,5.640625,5.640625,2502400
06-06-1997,2.304033518,5.765625,5.765625,5.640625,5.640625,2541600
09-06-1997,2.291544914,5.734375,5.8125,5.6875,5.8125,2352000
10-06-1997,2.316523552,5.796875,5.828125,5.734375,5.75,3172000
11-06-1997,2.335255384,5.84375,5.859375,5.796875,5.8125,2022400
12-06-1997,2.37896204,5.953125,5.984375,5.875,5.875,5048800
13-06-1997,2.391450644,5.984375,6.015625,5.9375,5.96875,4352800
16-06-1997,2.391450644,5.984375,6,5.96875,5.984375,4343200
17-06-1997,2.391450644,5.984375,5.984375,5.90625,5.984375,3670400
18-06-1997,2.372717619,5.9375,5.984375,5.9375,5.953125,3389600
19-06-1997,2.37896204,5.953125,5.96875,5.9375,5.9375,5240800
20-06-1997,2.347741842,5.875,5.953125,5.859375,5.953125,4784000
23-06-1997,2.310279846,5.78125,5.875,5.765625,5.84375,6133600
24-06-1997,2.322766066,5.8125,5.8125,5.765625,5.796875,2636000
25-06-1997,2.313401461,5.789062977,5.828125,5.757812977,5.796875,6320000
26-06-1997,2.319645643,5.804687977,5.84375,5.765625,5.796875,3408800
27-06-1997,2.338377237,5.851562977,5.890625,5.773437977,5.773437977,2277600
30-06-1997,2.300912619,5.757812977,5.851562977,5.757812977,5.851562977,6742400
01-07-1997,2.325888157,5.820312977,5.828125,5.75,5.765625,1900000
02-07-1997,2.319645643,5.804687977,5.84375,5.75,5.84375,2451200
03-07-1997,2.347741842,5.875,5.898437977,5.851562977,5.851562977,3232000
07-07-1997,2.329010963,5.828125,5.898437977,5.8125,5.875,3808000
08-07-1997,2.341498613,5.859375,5.875,5.796875,5.796875,3705600
09-07-1997,2.322766066,5.8125,5.882812977,5.75,5.875,3056000
10-07-1997,2.322766066,5.8125,5.84375,5.796875,5.828125,1248800
11-07-1997,2.319645643,5.804687977,5.84375,5.773437977,5.8125,1404800
14-07-1997,2.307155609,5.773437977,5.835937977,5.726562977,5.835937977,4752800
15-07-1997,2.341498613,5.859375,5.859375,5.765625,5.78125,5368800
16-07-1997,2.335255384,5.84375,5.867187977,5.820312977,5.84375,2216000
17-07-1997,2.319645643,5.804687977,5.867187977,5.789062977,5.859375,3607200
18-07-1997,2.304033518,5.765625,5.804687977,5.734375,5.789062977,3142400
21-07-1997,2.300912619,5.757812977,5.773437977,5.6875,5.75,2058400
